Description,label,Translated_Description,Cleaned_Description,Contains_Injury_Keyword,Mentions_Injury_Entity,Sentence_Length,Embedding
A pilot sustained neck strain from prolonged use of a tight headset during a flight.,1,A pilot sustained neck strain from prolonged use of a tight headset during a flight.,pilot sustained neck strain prolonged use tight headset flight,0,0,9,"[ 0.2511844  -0.0795699   0.04161368 -0.14775632 -0.21542865  0.44418338
  0.05760123  0.18508434  0.45427307 -0.24025223  0.3629361   0.03428533
 -0.24063887  0.44278678 -0.09122355  0.28861892 -0.6398704  -0.07405891
 -0.48818317 -0.40523157 -0.33854222  0.18020912 -0.07657667 -0.34645697
  0.14794666 -1.2074134   0.23925331  0.41516253  0.5966667   0.23921394
  2.2857642   0.37187523  0.11597557 -0.02511267  0.129155    0.33604553
  0.33351213  0.05846811 -0.07823    -0.023216   -0.14907478  0.26370013
 -0.11951002  0.44029558  0.14232069 -0.29341656  0.4949789   0.11380444
 -0.3216192   0.16019669]"
A flight was canceled due to a technical fault in the aircraft's navigation system.,0,A flight was canceled due to a technical fault in the aircraft's navigation system.,flight canceled due technical fault aircraft navigation system,0,0,8,"[ 0.69469    -0.02372387  0.22084212  0.26993263 -0.784875   -0.00276375
 -0.32767415  0.08280662  0.44615373 -0.45372623  0.58958614  0.2786334
 -0.27998096  0.23620811 -0.31139123  0.13883124 -0.6507348   0.31063876
 -0.7086818  -0.48953626  0.22667873  0.01280126 -0.42195338 -0.20665234
  0.3571285  -1.1855475  -0.15406875 -0.01719188  0.27325374  0.22747414
  2.6783624   0.09499124 -0.09437625 -0.50207824  0.36591426  0.04473915
  0.44568124  0.0319835  -0.21317625  0.38221413 -0.08378874 -0.10481992
  0.46623662  0.26280287 -0.7118437   0.01881666  0.25131285  0.56350005
  0.03502775  0.04965625]"
Een bagageafhandelaar verwondde zijn hand tijdens het laden van zware sportuitrusting in het ruim.,1,A baggage handler injured his hand while loading heavy sports equipment into the hold.,baggage handler injured hand loading heavy sport equipment hold,0,0,9,"[ 0.17760979 -0.1356289   0.41389558 -0.11220989  0.01602656 -0.00498831
 -0.2870506   0.08756021  0.49675614 -0.43131483  0.31025398  0.03086243
 -0.37795958  0.29897082  0.16298066 -0.01495055 -0.29314     0.42011857
 -0.48058    -0.8974326   0.15716499  0.1926381  -0.155666   -0.14146566
 -0.05763011 -1.2367789   0.04567445  0.22981045  0.66555244  0.05166445
  2.2628124   0.46875942 -0.08925944  0.06498555  0.2619989   0.8116956
  0.36016285  0.17970112  0.05097567  0.32652995  0.2656602   0.2966254
  0.29102322  0.3494267   0.22039166 -0.24041432 -0.10388888  0.12189742
  0.15070112 -0.3487356 ]"
"A flight crew was delayed arriving from a previous trip, causing a scheduling conflict.",0,"A flight crew was delayed arriving from a previous trip, causing a scheduling conflict.",flight crew delayed arriving previous trip causing scheduling conflict,0,0,9,"[ 0.8872155   0.12854223 -0.06070656  0.07154667 -0.39414656  0.1155929
 -0.46342883  0.6507533   0.25486124 -0.48375034 -0.01212555 -0.16769256
 -0.35534334  0.2898689   0.6896833  -0.04433733 -0.63327    -0.1273358
 -0.66312    -0.33523554  0.33834675  0.26803616  0.01886638 -0.06818753
  0.34227556 -1.0654881   0.22267355  0.03446712  0.46627998  0.48668003
  2.436267    0.5066634  -0.3389511  -0.34945333  0.21623331  0.09059889
  0.26979977 -0.13624467 -0.4307011   0.21792746 -0.5369492   0.04234155
  0.18615933 -0.04625311 -0.2389795  -0.03077417  0.14189878  0.42723668
 -0.21625823 -0.08550911]"
An aircraft was rerouted due to severe weather conditions at the destination airport.,0,An aircraft was rerouted due to severe weather conditions at the destination airport.,aircraft rerouted due severe weather condition destination airport,0,0,8,"[ 0.9326704   0.17188373  0.10654406 -0.04633839 -0.74166614 -0.25181875
 -0.3041164   0.31289074  0.4933075  -0.42398128  0.5007865  -0.11594824
  0.03846775 -0.06850963  0.14340387  0.5471925  -0.688955    0.10225312
 -0.7173777  -0.28354698 -0.01605624  0.14827837 -0.14168736 -0.01325627
  0.28031352 -1.0554175   0.11865748  0.50637054  0.72023255  0.68689376
  2.485215    0.25473922  0.21667397 -0.4656595   0.34007835 -0.06196586
  0.5537029  -0.06280063 -0.36048323  0.46179554 -0.40204126  0.19202787
  0.66602004 -0.01205762 -0.22750877  0.00622876 -0.17349789  0.10427275
  0.2571825   0.108465  ]"
A connecting jet bridge became stuck and required manual disengagement.,0,A connecting jet bridge became stuck and required manual disengagement.,connecting jet bridge became stuck required manual disengagement,0,0,8,"[ 0.42224088  0.04527238  0.28852752 -0.40046823 -0.4513613   0.35034835
 -0.390135   -0.083023    0.1000055  -0.4037581   0.08007562 -0.00274705
 -0.23383051  0.24349838 -0.38040873  0.1843217  -0.16041501  0.27426064
 -0.09893127 -0.3258136   0.11296837 -0.0439975  -0.37006524  0.03059251
  0.34432402 -1.03689    -0.02756637  0.28241     0.3476005  -0.07520626
  2.2443376  -0.11476687 -0.36232626 -0.00259762  0.23139074  0.07486288
  0.47595036  0.03787977 -0.17009425  0.30372852 -0.07408815 -0.17428014
  0.0860551   0.00598662 -0.5608177  -0.04869125  0.18009113 -0.07980622
 -0.0178025  -0.0716765 ]"
A baggage handler injured their hand while loading heavy sports equipment into the hold.,1,A baggage handler injured their hand while loading heavy sports equipment into the hold.,baggage handler injured hand loading heavy sport equipment hold,0,0,9,"[ 0.17760979 -0.1356289   0.41389558 -0.11220989  0.01602656 -0.00498831
 -0.2870506   0.08756021  0.49675614 -0.43131483  0.31025398  0.03086243
 -0.37795958  0.29897082  0.16298066 -0.01495055 -0.29314     0.42011857
 -0.48058    -0.8974326   0.15716499  0.1926381  -0.155666   -0.14146566
 -0.05763011 -1.2367789   0.04567445  0.22981045  0.66555244  0.05166445
  2.2628124   0.46875942 -0.08925944  0.06498555  0.2619989   0.8116956
  0.36016285  0.17970112  0.05097567  0.32652995  0.2656602   0.2966254
  0.29102322  0.3494267   0.22039166 -0.24041432 -0.10388888  0.12189742
  0.15070112 -0.3487356 ]"
"Een stroompiek legde het inchecksysteem plat, wat voor vertraging zorgde.",0,"A power surge shut down the check-in system, causing delays.",power surge shut checkin system causing delay,0,0,7,"[ 0.3672146  -0.37244114  0.7568328  -0.11251429 -0.72316855 -0.01496715
 -0.04403556  0.297336    0.27965716  0.3127694  -0.05543713 -0.04778715
 -0.28956535  0.14917973 -0.04327073  0.28260842 -0.11667856 -0.10627829
 -0.18263789 -0.34466144  0.12792143 -0.45313445 -0.09692942 -0.27505285
  0.15328714 -1.1691715   0.075521    0.18329987  0.8174786   0.28026572
  2.3624427   0.33544853 -0.06693957 -0.24843042 -0.22846329  0.02031142
  0.22718999 -0.41264328  0.12437727  0.10015201 -0.5122086   0.01330143
 -0.23752628  0.31772143 -0.24854138  0.14333728 -0.07453429  0.11845715
  0.08639287 -0.07609715]"
An airline system outage delayed ticketing and boarding across multiple flights.,0,An airline system outage delayed ticketing and boarding across multiple flights.,airline system outage delayed ticketing boarding across multiple flight,0,0,9,"[ 0.90895665 -0.15402034  0.26816678  0.2088742  -0.7475733  -0.04639434
 -0.48878425  0.04095678  0.68092775 -0.29298267  0.21913947  0.01020123
 -0.18808717  0.48725632  0.07492133 -0.01085078 -0.9001323   0.22065336
 -0.3548693  -0.43273774  0.47431225 -0.11330058 -0.4267051   0.361921
 -0.01148666 -0.97587997  0.15093666  0.01630312  0.35241446  0.20606907
  2.3910332   0.42729324  0.02510632 -0.23327456  0.06508111  0.15612678
  0.4001978  -0.1355069  -0.20735222  0.4817171  -0.15056789  0.05960721
  0.23432922  0.64313805 -0.5564466   0.03009754  0.0371849   0.33997887
  0.04570767 -0.02163522]"
Een passagier liep brandwonden op toen een laptop oververhit raakte en in brand vloog tijdens de vlucht.,1,A passenger suffered burns when a laptop overheated and caught fire during the flight.,passenger suffered burn laptop overheated caught fire flight,0,0,8,"[ 0.52013314 -0.24809612  0.6967766  -0.39318153 -0.19291024  0.12807885
 -0.40879112  0.1530275   0.30177885 -0.08088201  0.157644   -0.01849087
 -0.42093498  0.24476063  0.14694342  0.05764975 -0.65014976  0.42522612
 -0.7125012  -0.46069625  0.14162236  0.28217888 -0.15980124 -0.04986047
  0.30785364 -1.232625    0.12780374  0.3677236   0.8019238   0.21311499
  2.0137074   0.19425526  0.17601663 -0.05090375  0.298499    0.44642127
  0.3892855  -0.17880775  0.21965778  0.2920625  -0.15273875  0.12545612
  0.16292188  0.19510749  0.27270254 -0.00499413 -0.039114   -0.23209102
  0.31752387 -0.335735  ]"
Een stewardess liep letsel op door een defecte jumpseat tijdens een noodlanding.,1,A flight attendant was injured by a defective jump seat during an emergency landing.,flight attendant injured defective jump seat emergency landing,0,0,8,"[ 6.0995251e-01 -1.2050712e-01  5.5235612e-01 -1.2794951e-01
 -6.6144995e-02  3.1556940e-01 -3.2515249e-01  4.1386425e-01
  4.9310502e-01 -6.4730746e-01  3.7823874e-01 -1.9985290e-01
 -1.8290237e-01  5.1080376e-01  2.9510325e-01  1.4168501e-01
 -6.8700880e-01  2.5873715e-01 -7.6194251e-01 -7.0059490e-01
 -2.4042357e-02  2.2880250e-01 -4.8122501e-01 -1.7800473e-01
  2.2316664e-01 -1.1833438e+00  2.1236162e-01  1.9629012e-01
  3.6244375e-01  1.2386638e-01  1.9673524e+00  4.2242661e-01
 -2.0269564e-01  2.1687122e-02  3.9659360e-01  2.8136626e-01
  8.8514727e-01 -1.2598813e-01  2.3996252e-01  2.2369877e-01
 -2.4958988e-01  2.5152826e-01  2.9697815e-01  2.0869195e-01
 -2.9229254e-01 -1.3268988e-01  4.2249262e-04 -1.4989477e-01
  1.7747988e-01  4.1827504e-03]"
"De bagageband werkte niet, wat vertraging veroorzaakte bij het ophalen van koffers.",0,"The baggage belt was not working, causing a delay in retrieving suitcases.",baggage belt working causing delay retrieving suitcase,0,0,7,"[ 0.53022003 -0.16418031  0.49780372 -0.16362928  0.06942842  0.30793732
 -0.06949001  0.21657072  0.7270544  -0.26264772  0.02968176 -0.00396143
 -0.18491958  0.43218115  0.33268303  0.07649385 -0.4011157   0.20676287
 -0.12253001 -0.5363006   0.36660144 -0.01123014  0.01068543 -0.15091756
  0.12162001 -1.2538271  -0.08181443  0.38135144  0.8034025  -0.07711279
  1.5945672   0.2412318  -0.23522127 -0.1998886   0.14231586  0.70265716
  0.13408287  0.14406002  0.15151715  0.24172057 -0.09129429  0.22326429
  0.23204586  0.3681226  -0.08467458 -0.3049884   0.17086573  0.12110029
  0.17392243 -0.42866573]"
 A cleaning staff member slipped on soap residue in an airport restroom and injured their hip.,1, A cleaning staff member slipped on soap residue in an airport restroom and injured their hip.,cleaning staff member slipped soap residue airport restroom injured hip,0,0,10,"[ 1.16082989e-01  2.46049911e-02  1.38998928e-03 -1.49275914e-01
  8.89529958e-02  5.03433049e-02 -4.08320248e-01  1.00917004e-01
  2.11876780e-01 -2.63849020e-01  2.57232994e-01 -2.04106003e-01
 -2.68808007e-01  2.45839000e-01  1.46342710e-01  1.75008506e-01
 -3.50598991e-01  3.65725696e-01 -3.28163892e-01 -2.70319402e-01
  2.29097277e-01  5.68539977e-01  6.90941960e-02  1.36743203e-01
 -4.00300205e-01 -8.45981956e-01  6.55870214e-02  4.40687001e-01
  2.43078977e-01 -2.58768792e-03  1.92262304e+00  2.18710378e-01
  1.04765989e-01 -1.57259017e-01  2.40667939e-01  6.05033994e-01
  5.01486957e-01 -1.18377944e-02  6.06993139e-01  2.17016295e-01
 -1.25388950e-02  2.38917992e-01 -4.84025478e-03  1.08695969e-01
  2.99936950e-01 -1.46655649e-01 -2.20606998e-01 -1.61034822e-01
  3.21298629e-01 -2.09558010e-02]"
Een onderhoudsmonteur viel van een ladder tijdens een inspectie van een vleugel en brak zijn arm.,1,A maintenance engineer fell from a ladder while inspecting a wing and broke his arm.,maintenance engineer fell ladder inspecting wing broke arm,0,0,8,"[ 0.01384963 -0.4117325   0.461357   -0.24623926  0.21603248  0.11844951
 -0.48042762  0.0665945   0.32831126 -0.6304375   0.35403025 -0.07677001
 -0.77632016  0.53815997 -0.57537    -0.10114469 -0.32811624  0.18695123
 -0.39097002 -0.327449    0.28214315  0.12941626 -0.37573782 -0.4254312
 -0.18958263 -0.95912313  0.184295   -0.00805524  0.2236      0.15856078
  2.208685   -0.08686538  0.18228586  0.21970251  0.0628325   0.25710925
  0.18576324  0.202827    0.46932626  0.1126097  -0.18867    -0.33242798
  0.04641224  0.037182    0.07054962 -0.2832285  -0.01260262 -0.34158248
  0.0955865  -0.16033374]"
 A pilot suffered dehydration due to a malfunctioning air conditioning system in the cockpit.,1, A pilot suffered dehydration due to a malfunctioning air conditioning system in the cockpit.,pilot suffered dehydration due malfunctioning air conditioning system cockpit,0,0,9,"[ 0.5112045  -0.25004435  0.35793623 -0.15233079 -0.7288394   0.21891445
  0.04424899  0.41106108  0.40347221 -0.20639732  0.7723511   0.05114811
 -0.28414094  0.53576887 -0.1984769   0.28744328 -0.8701011   0.31372333
 -0.58599174 -0.69122773 -0.20437223  0.23475334 -0.15203933 -0.3634662
  0.14240022 -0.96691036 -0.10460889  0.27073875  0.6016755   0.8149389
  2.2638543   0.11887898  0.02943366 -0.49169445  0.231713    0.47311443
  0.72716224 -0.0265469   0.39393443  0.266477   -0.06139921  0.06097148
  0.023942    0.44556898  0.00906366  0.03836823  0.13386889  0.003777
 -0.07162334  0.07183334]"
Een stewardess liep een blessure op door een defecte trolley tijdens een internationale vlucht.,1,A flight attendant was injured by a defective trolley during an international flight.,flight attendant injured defective trolley international flight,0,0,7,"[ 0.75316715  0.13830857  0.25308368 -0.01164243 -0.30533716  0.18435645
 -0.5976286   0.24371283  0.569414   -0.39856142  0.57208     0.03533285
 -0.46171373  0.53743     0.28653714 -0.21051571 -0.90748996  0.45417985
 -0.78450716 -0.530577    0.07932573  0.39570427 -0.58645856  0.14437449
  0.12522087 -1.1242458   0.17953858  0.08212829  0.37929288 -0.00290857
  1.7916172   0.54544574 -0.06017286 -0.05954086  0.3099057   0.15499303
  0.78933424 -0.18539442  0.10828003  0.7144454  -0.01879986  0.09243599
  0.5205393   0.24201584 -0.15431544  0.02079657 -0.20482716  0.09666598
  0.09781943 -0.0983    ]"
 A traveler fainted due to dehydration while waiting in a long security line at the airport.,1, A traveler fainted due to dehydration while waiting in a long security line at the airport.,traveler fainted due dehydration waiting long security line airport,0,0,9,"[ 0.5634641   0.2920676   0.19058    -0.44013032 -0.10920244 -0.24870957
 -0.33226123  0.33930552  0.20206779 -0.36822724  0.09946876 -0.19855568
 -0.21502455 -0.02082723  0.26838234  0.27925423 -0.41227782 -0.01195833
 -0.30646166 -0.26749444  0.08235586  0.38748586 -0.05280467  0.09395888
  0.268132   -1.2189271   0.25622776  0.40293056  0.422415    0.37271842
  2.2492712   0.44785276 -0.05338132 -0.21687478  0.0576921   0.073149
  0.28394568 -0.022502    0.06608234  0.3019378  -0.09168446  0.2535455
  0.14716451  0.23949565 -0.03940721 -0.31001547 -0.03275767 -0.08042222
  0.155796   -0.1375459 ]"
An airport Wi-Fi outage disrupted communication for travelers and staff in the terminal.,0,An airport Wi-Fi outage disrupted communication for travelers and staff in the terminal.,airport wifi outage disrupted communication traveler staff terminal,0,0,8,"[ 0.8137387   0.25274     0.50727373  0.33694378 -0.44797373 -0.61070853
 -0.501621   -0.01593625  0.6249538  -0.22671776  0.3008855   0.0223
 -0.05665201  0.0453799  -0.12701611  0.19089851 -0.8338925   0.41118902
 -0.20433551 -0.05209238  0.36376452  0.14476925 -0.46578252  0.4443225
  0.199905   -0.67458516  0.48652002  0.05672624  0.6188938   0.32029575
  1.8377962   0.42929688  0.289205   -0.44675973 -0.15240237  0.24302575
  0.21426627 -0.12616113 -0.07985889  0.8791538   0.38421     0.29778033
 -0.07177432  0.4431337  -0.26245    -0.01741574 -0.05547687  0.11789037
 -0.02309474  0.3117325 ]"
A flight was diverted to a nearby airport due to severe weather conditions en route.,0,A flight was diverted to a nearby airport due to severe weather conditions en route.,flight diverted nearby airport due severe weather condition en route,0,0,10,"[ 9.3804151e-01  3.5212100e-01  3.5662532e-03 -7.3213920e-02
 -7.6626694e-01 -4.2679197e-01 -4.0832210e-01  4.3842918e-01
  4.4308895e-01 -3.9475220e-01  2.3552427e-01 -2.4798930e-01
  1.6291946e-03 -1.6362600e-01  2.1054601e-02  2.3965915e-01
 -5.2479351e-01  3.3017300e-02 -7.8070092e-01 -5.2957393e-02
 -1.6257981e-02  2.4144268e-01 -1.1956699e-02  6.2692165e-04
  1.5495321e-01 -1.1847880e+00  1.3878612e-01  5.7290488e-01
  6.5491700e-01  3.2703695e-01  2.5326200e+00  2.0144367e-01
  2.0412695e-02 -3.7268502e-01  3.1385016e-01 -1.4291440e-01
  4.9922210e-01 -5.8154501e-02  5.9444187e-03  6.2232149e-01
 -3.4191099e-01  1.2472089e-01  7.3939800e-01 -1.2928756e-01
 -2.6468000e-01 -8.8498197e-02 -1.9215870e-01 -5.2191008e-02
  3.3990699e-01  8.9334108e-02]"
Een toilet aan boord werkte niet goed tijdens de vlucht.,0,A toilet on board was not working properly during the flight.,toilet board working properly flight,0,0,5,"[ 5.3707939e-01 -3.4054399e-01  4.1812606e-02 -3.6286837e-01
  3.0401999e-02 -1.5809116e-01 -3.3113003e-01  1.7661005e-02
  5.1385021e-01 -6.7871398e-01  2.7038202e-01  3.8376838e-01
 -1.3476101e-01  5.7376200e-01  1.4965840e-01  2.1272799e-01
 -4.9442202e-01  6.5407598e-01 -1.7110801e-01 -6.8636000e-01
  6.3385594e-01  4.4800383e-01  2.0635219e-01 -1.2606757e-02
  9.9091008e-02 -1.3673599e+00 -7.7236004e-02  1.2378061e-01
 -9.8441239e-04 -9.8342896e-02  2.4538798e+00  2.5486082e-01
 -4.9243999e-01 -3.2898998e-01  3.7949204e-02  3.0113798e-01
  6.2256205e-01  4.0641886e-01  3.3581251e-01  5.7345401e-02
 -3.1576000e-02 -3.0483279e-01  3.6303562e-01  6.8232763e-01
 -2.3835799e-01  8.9768194e-02 -2.6469401e-01  1.0251440e-01
  6.8211004e-02  1.4642820e-01]"
 A flight attendant twisted their ankle while demonstrating safety procedures in the aisle.,1, A flight attendant twisted their ankle while demonstrating safety procedures in the aisle.,flight attendant twisted ankle demonstrating safety procedure aisle,0,0,8,"[ 0.4484725  -0.04969987 -0.08789524 -0.33492863  0.01316126  0.40590924
 -0.10883626  0.14881627  0.61420435 -0.3773599   0.15820752  0.01504376
 -0.6396475   0.44803366  0.01203316  0.11876126 -0.64990073 -0.09039226
 -0.11611752 -0.6694213  -0.15927877  0.55187815 -0.34511727 -0.24769261
  0.30384827 -0.95509005  0.06236062  0.474827    0.44029638 -0.14481325
  1.7464424   0.3516175  -0.03360612 -0.20630738  0.16444762  0.26033828
  0.685225    0.13949725  0.10818     0.25388446 -0.12107377 -0.12388188
  0.15887651  0.49975625  0.02595251  0.03413001  0.23645988  0.01483126
  0.02969488 -0.13688375]"
Een passagier liep brandwonden op toen een laptop oververhit raakte en vlam vatte tijdens de vlucht.,1,A passenger suffered burns when a laptop overheated and caught fire during the flight.,passenger suffered burn laptop overheated caught fire flight,0,0,8,"[ 0.52013314 -0.24809612  0.6967766  -0.39318153 -0.19291024  0.12807885
 -0.40879112  0.1530275   0.30177885 -0.08088201  0.157644   -0.01849087
 -0.42093498  0.24476063  0.14694342  0.05764975 -0.65014976  0.42522612
 -0.7125012  -0.46069625  0.14162236  0.28217888 -0.15980124 -0.04986047
  0.30785364 -1.232625    0.12780374  0.3677236   0.8019238   0.21311499
  2.0137074   0.19425526  0.17601663 -0.05090375  0.298499    0.44642127
  0.3892855  -0.17880775  0.21965778  0.2920625  -0.15273875  0.12545612
  0.16292188  0.19510749  0.27270254 -0.00499413 -0.039114   -0.23209102
  0.31752387 -0.335735  ]"
"An arriving passenger accidentally took a crew-only shuttle, delaying crew availability.",0,"An arriving passenger accidentally took a crew-only shuttle, delaying crew availability.",arriving passenger accidentally took crewonly shuttle delaying crew availability,1,0,9,"[ 8.05134773e-01 -9.66468751e-02  4.25398082e-01 -3.07507247e-01
 -1.76237255e-01  1.57086998e-01 -8.35368454e-01  5.81087470e-01
  5.97861350e-01 -4.86402512e-01  2.89592743e-01  9.24553797e-02
 -1.70011252e-01  4.76798743e-01  2.36319646e-01 -1.38354972e-02
 -6.36894941e-01  1.18837483e-01 -7.21948743e-01 -5.20327091e-01
  5.17505109e-01  2.98430026e-01 -1.07786253e-01 -5.51575758e-02
  4.29294795e-01 -1.08520615e+00  4.85090822e-01  1.81364760e-01
  6.43241286e-01  2.86534607e-01  1.86495745e+00  3.71122479e-01
 -2.84339875e-01 -1.92899123e-01  4.42504883e-01  2.32269883e-01
  4.78233755e-01  9.75012481e-02 -2.89551854e-01  2.24370718e-01
 -1.07623249e-01 -6.11536950e-03  2.69887984e-01 -2.12676257e-01
 -1.44720048e-01 -1.74910635e-01 -1.11237168e-05  4.02362570e-02
  1.23601496e-01 -2.16369778e-02]"
 A child was cut by a sharp edge on a damaged airport seating area and required stitches.,1, A child was cut by a sharp edge on a damaged airport seating area and required stitches.,child cut sharp edge damaged airport seating area required stitch,1,0,10,"[ 0.452946   -0.02322811  0.1523353  -0.25897032  0.13777804  0.23343161
 -0.22319512 -0.13193409  0.2914264  -0.44173765 -0.07662381 -0.400589
 -0.057948   -0.0768334  -0.15144959  0.32044667 -0.027567    0.01832301
 -0.19207901 -0.6218951   0.190792    0.10906871 -0.335602   -0.06262599
 -0.16244699 -0.8164841   0.02493818  0.43440193  0.39229998 -0.258346
  2.674087    0.24050991  0.127619   -0.09743716  0.14927252  0.271505
  0.324777    0.0518033   0.14108871  0.00561033 -0.16003023  0.13120821
  0.16189101  0.06215369 -0.2737165  -0.10793631  0.14082101 -0.326318
 -0.0214275  -0.07645921]"
A miscommunication in gate announcements led to passengers missing their flight.,0,A miscommunication in gate announcements led to passengers missing their flight.,miscommunication gate announcement led passenger missing flight,0,0,7,"[ 0.7158328   0.12382845  0.30336523  0.08939357  0.057718    0.0246543
 -0.48906702  0.42266712  0.14130571 -0.47142372  0.13975628 -0.09595529
 -0.5963629   0.20437773  0.25835675 -0.0910457  -0.63078266 -0.06902342
 -0.80804586 -0.37267545  0.14575431  0.15651758 -0.32499573 -0.1560764
  0.27137557 -1.1550257  -0.03843772  0.21549101  0.19186088  0.20342429
  1.9741449   0.274125    0.03309143 -0.023384    0.26036757 -0.14624856
  0.38471717 -0.33867913 -0.13821243  0.47838    -0.24989685  0.09550643
  0.08062715  0.02600716 -0.15513144 -0.1943766  -0.04498215  0.29923272
  0.195353   -0.38034   ]"
Een copiloot kreeg een ernstige migraine door drukproblemen in de cabine tijdens een vlucht.,1,A co-pilot developed a severe migraine due to cabin pressurization problems during a flight.,copilot developed severe migraine due cabin pressurization problem flight,0,0,9,"[ 9.10814524e-01  4.25841138e-02 -2.22928897e-02 -2.87903994e-01
 -7.59380102e-01  6.49128854e-01 -3.27545442e-02  1.94222242e-01
  3.61120552e-01 -2.99898893e-01  4.64383274e-01  1.61503032e-01
 -1.51795119e-01  1.08228892e-01 -2.26602331e-02  2.80251116e-01
 -7.47622252e-01  2.24931106e-01 -3.98590982e-01 -4.15636539e-01
 -4.35444117e-01  2.81395257e-01 -2.73147315e-01 -1.01853296e-01
  2.84289539e-01 -8.47691119e-01 -2.11957753e-01  1.92406669e-01
  4.56888139e-01  8.87660027e-01  1.86267090e+00  1.86750680e-01
  5.29294349e-02 -3.65436435e-01  3.55685562e-01  2.37589523e-01
  4.06228900e-01 -1.86690778e-01  3.54806632e-01  2.10890025e-01
 -1.75418869e-01  1.45141676e-01  1.45245224e-01  5.69174528e-01
 -3.63433361e-02  1.11602031e-01  2.64753133e-01  3.10308874e-01
  3.01222841e-04  1.06756024e-01]"
Een stewardess raakte gewond aan haar rug bij het optillen van een zware tas naar de bagagebak.,1,A flight attendant injured her back while lifting a heavy bag into the overhead bin.,flight attendant injured back lifting heavy bag overhead bin,0,0,9,"[ 0.4218092  -0.01870019  0.509861   -0.32002246  0.09066701 -0.18147534
 -0.25597855  0.22738709  0.43073568 -0.30866832  0.09866801 -0.00967568
 -0.43940884  0.4323041   0.20431924  0.10235445 -0.44166324  0.047893
 -0.7677763  -0.49925435  0.02133034  0.2798731   0.06176667 -0.31494653
 -0.06114777 -1.4270934   0.12165279  0.50981957  0.6563145   0.01350222
  2.141782    0.5774547  -0.02059111  0.33336154  0.2661113   0.5185611
  0.48567832 -0.06687745 -0.02232666  0.3358363   0.07299444  0.47147954
  0.18938245  0.17315584  0.22348353 -0.27748844 -0.10879901 -0.10752413
  0.08405212 -0.38198668]"
A passenger was struck by a collapsing baggage rack in the terminal and injured their neck.,1,A passenger was struck by a collapsing baggage rack in the terminal and injured their neck.,passenger struck collapsing baggage rack terminal injured neck,0,0,8,"[ 0.5422212   0.08956     0.501935   -0.3657112   0.07209263  0.45213616
 -0.28749624  0.25738502  0.5361904  -0.67978436  0.117715   -0.25013337
 -0.42047003  0.606765    0.00441346  0.22750187 -0.6064557   0.07991588
 -0.65688473 -0.36511865  0.06850629  0.0449219  -0.45196    -0.01078137
 -0.00877287 -1.0324187   0.39978677  0.7384075   0.71856505  0.01282575
  1.8063161   0.411142    0.4897375   0.39070326  0.211543    0.57241076
  0.7137712  -0.01785964  0.3827936   0.48352626 -0.10915375  0.2739437
  0.19915426  0.25763375 -0.06031475 -0.0104725   0.05493838 -0.27638745
  0.31831998 -0.41038227]"
 A baggage handler suffered a hand injury while loading heavy sports equipment onto the plane.,1, A baggage handler suffered a hand injury while loading heavy sports equipment onto the plane.,baggage handler suffered hand injury loading heavy sport equipment onto plane,1,0,11,"[ 0.34866345 -0.18675967  0.35893872 -0.10914409 -0.12352829  0.18358321
 -0.31709075  0.15625927  0.5769824  -0.3961344   0.42991963  0.11051648
 -0.59078336  0.26024973  0.13751239 -0.00484318 -0.45064345  0.27063274
 -0.6482191  -0.81974673 -0.03859318  0.162755   -0.22981128 -0.19445753
  0.06538481 -1.3294827   0.00237546  0.45382938  0.7884912   0.08094689
  2.242992    0.39005625  0.09045956 -0.00980499  0.193588    0.7645746
  0.33095607  0.21772362  0.1306017   0.22186273  0.24255547  0.28194973
  0.24725719  0.30291018  0.08309899 -0.21537918  0.07404637 -0.02675901
  0.1940218  -0.4489527 ]"
"A flight’s airspeed indicators were found to be faulty, requiring a thorough inspection.",0,"A flight’s airspeed indicators were found to be faulty, requiring a thorough inspection.",flight ’ airspeed indicator found faulty requiring thorough inspection,0,0,9,"[ 0.3464662  -0.17716557  0.15154135 -0.22381857 -0.14364488 -0.00968888
  0.00725956 -0.16521579  0.7770466  -0.16662444  0.38799396  0.15356396
  0.04275844  0.31708443 -0.12838727  0.1185789  -0.64645404 -0.19780377
 -0.2522254  -0.6743733   0.2273717   0.1018578   0.06038243 -0.43181673
  0.38125044 -0.8870266  -0.5030178   0.11607434  0.05895388  0.32864535
  1.9359676  -0.14145988 -0.21753334 -0.63404006  0.4797464   0.03394355
  0.74588     0.22010943  0.01929622  0.21110688 -0.012119   -0.29525313
  0.42992356  0.55721265 -0.03208489 -0.06569978  0.30169135  0.78415895
  0.57548213 -0.07598822]"
